TT,Titulo,directores,resumen,claves,objetivos,director1,director2,sinodal1,sinodal2,sinodal3
2021-B007,"CrimePoll: Análisis y exploración de datos sobre la relación entre calidad del
aire y crimen en Ciudad de México",zagal flores roberto eswart,"El propósito de este trabajo es el análisis entre las fuentes de datos de calidad del aire y de delitos en la Ciudad de México, de esta manera descubrir tendencias y hallazgos para describir el comportamiento entre los fenómenos de la calidad del aire y el crimen en el tiempo y el espacio La intención no es presentar resultados concluyentes sino aportar resultados descriptivos entre las relaciones de ambos fenómenos para enriquecer la discusión entre la comunidad científica multidisciplinaria que estudia la conexión entre ambos fenómenos La manera en la que lo haremos será con minería de datos, haciendo todo el proceso de éstos para finalmente mostrarlos a través de una arquitectura de data mining para análisis de datos y un dashboard que presentará resultados en espacio y tiempo","Calidad del aire, Integración de datos, Crimen, análisis y visualización de datos.",Objetivo general   Desarrollar un proceso para analizar en tiempo y espacio los datos de los fenómenos de contaminación del aire e incidencia del crimen a nivel en alcaldías de la Ciudad de México para descubrir hallazgos entre ambos fenómenos mediante minería y visualización de datos mostrando resultandos no concluyentes entre contextos que describan una caracterización de dichos fenómenos.  Objetivos particulares       Analizar y delimitar el alcance del análisis espacio temporal de las fuentes de datos Caracterizar en el tiempo y el espacio los conjuntos de datos de crimen y calidad del aire Detectar hallazgos y tendencias en ambas fuentes de datos Generar mecanismos de integración de ambas fuentes de datos Generar el análisis espacio y tiempo de las fuentes integradas,zagal flores roberto eswart,,,,
2021-B008,Plataforma digital para promover el turismo cultural en México,"sánchez cruz virginia, claudia alejandra lópez rodríguez","En este trabajo terminal se propone el desarrollo de una plataforma web que integrara diferentes tecnologías con la finalidad de llevar información turística a un público nacional e internacional acerca de lugares con alta riqueza cultural, así como natural enfocándose en áreas que no tengan una amplia divulgación, promoviendo de esta forma la economía de estas regiones, toda esta información será retroalimentada por las opiniones de los turistas manteniendo una constante actualización de los datos mostrados y consecuentemente generar una experiencia nueva en los turistas que podrían inclusive practicar el turismo de convivencia con los pobladores","Desarrollo web, plataforma digital, turismo de convivencia.","Desarrollar una plataforma digital de búsqueda, promoción, difusión y vinculación en beneficio de las regiones poco conocidas que disponen de amplios recursos naturales y/o sociales, para su implementación en el turismo cultural en México.",sánchez cruz virginia,claudia alejandra lópez rodríguez,,,
2021-B010,"PROTOTIPO DE RECORRIDO VIRTUAL INMERSIVO A DOS SALAS DEL
PALACIO DE BELLAS ARTES","zagal flores roberto, araujo díaz david","Actualmente el Instituto Nacional de Bellas Artes ofrece un recorrido virtual por los interiores del palacio de Bellas Artes, el cual está basado en fotografías en 360 grados, pero esto limita la experiencia de apreciación durante la exploración de las salas Este trabajo propone reemplazar las fotografías por un entorno de realidad virtual inmersiva, aplicada a la sala principal y la sala Jorge González Camarena del Palacio de Bellas Artes, lo cual permite interactuar con los objetos presentes en las salas y visualizar información relevante mientras los sostiene, además de poder apreciar detalles de las mismas El prototipo puede ayudar a los habitantes de la Ciudad de México que buscan acudir al palacio en un horario fuera del establecido o simplemente no desean un límite de tiempo para su visita En general este trabajo puede servir para incentivar a la población mexicana y extranjera a conocer este recinto de forma no presencial sin el impacto económico que representaría un viaje a la Ciudad de México","Modelado 3D, Prototipo, Realidad virtual inmersiva, Recorrido virtual, Turismo no presencial.","Objetivo General Desarrollar un prototipo usando enfoques de realidad virtual inmersiva y dispositivos móviles para realizar recorridos no presenciales en la sala principal del Palacio de Bellas Artes y la sala Jorge González Camarena, proporcionando información temática de la exposición en las salas, y ofreciendo una experiencia inmersiva a los visitantes que deseen explorar las salas del del palacio usando dispositivo móviles y modelos en 3D.  Objetivos Particulares       Definir el mecanismo de recorrido e interacción en las salas. Analizar las características de la sala Jorge González Camarena y la sala principal del Palacio de Bellas Artes para realizar modelos en 3D. Diseñar la interfaz de acceso al recorrido y control. Integrar el visor de realidad virtual con el entorno del recorrido. Integrar los controles para interactuar con los entornos.",zagal flores roberto eswart,araujo díaz david,,,
2021-B012,Sistema Web para la Evaluación de Métricas de Software,"lorena chavarría báez, ocotitla rojas nancy","Las métricas de software son una medida cualitativa de atributos del software, están relacionadas con la calidad de este ya que cuantifican una serie de propiedades y atributos en los programas Aunque las ventajas de utilizar métricas de software son significativas, a saber selección de mejores alternativas, ahorro de recursos y mantenibilidad del proyecto, no se aplican con la frecuencia que deberían debido a distintos factores, entre los que destacan el tiempo y el esfuerzo que requieren y la falta de conocimiento sobre las mismas Por lo tanto, la propuesta aquí planteada tiene como objetivo realizar un sistema capaz de examinar programas, y desplegar un análisis de sus características, utilizando como base algunas métricas de software para código fuente estructurado y orientado a objetos","Departamento de Ingeniería en Sistemas Computacionales, análisis, código, métricas, programación estructurada, programación orientada a objetos.","continuación, se enuncia el objetivo general de este Trabajo Terminal. Implementar un sistema de software para evaluar programas orientados a objetos y estructurados, escritos en los lenguajes de programación Java y C, respectivamente, usando métricas de software para código fuente. Objetivos específicos Una vez establecido el objetivo general, es necesario fragmentarlo en objetivos específicos para tener claro los puntos que se deben desarrollar para alcanzarlo. A continuación, se listan los objetivos específicos de este trabajo.       Implementar un subsistema gestor de usuarios. Desarrollar un subsistema gestor de archivos. Implementar un subsistema de análisis de métricas de programación orientada a objetos. Implementar un subsistema de análisis de métricas de programación estructurada. Desarrollar un subsistema de despliegue y comparación de resultados.",chavarria báez lorena,ocotitla rojas nancy,,,
2021-B013,"Modelado del Physarum Polycephalum con autómatas
celulares para el enrutado de robots mensajeros","juárez martínez genaro, oliva moreno luz noé","El trabajo terminal propone usar el modelado de redes inspirado en el organismo (bacteria) conocido como “Physarum Polycephalum” (bio algoritmos) Para que trabaje como un proveedor de rutas dinámicas, que además puede ser utilizado en un robot mensajero con el fin de mover paquetes entre dos puntos, una aplicación esperada será utilizarlo en el edificio de gobierno de la Escuela Superior de Cómputo del Instituto Politécnico Nacional A través de esta investigación se plantea un avance en el marco teórico sobre las aplicaciones del modelado del Physarum Polycephalum en sistemas de tiempo real utilizando funciones con relación isotrópica con un modelo basado en autómatas celulares de dos dimensiones","Academia de Ciencias de la Computación, Autómatas celulares, Instrumentación, Sistemas Digitales.",Modelar el comportamiento del organismo Physarum Polycephalum usando autómatas celulares para otorgar rutas alternas a un robot mensajero dentro del edificio de gobierno de la Escuela Superior de Cómputo del Instituto Politécnico Nacional; con la finalidad de enviar paquetes menores a 5 kilogramos entre las personas que laboran en ese edificio. Objetivos específicos Explorar las configuraciones del autómata celular en su forma bidimensional del Physarum Polycephalum. Diseñar un robot que pueda mover paquetes menores a 5 kilogramos entre dos puntos. Enviar paquetes en el edificio de gobierno de la Escuela Superior de Cómputo del Instituto Politécnico Nacional usando el robot desarrollado.,juárez martínez genaro,luz noe oliva moreno,,,
2021-B014,"Prototipo de sistema web de suscripción a cursos en línea abiertos y masivos basados en
contenido; mediante marketing multinivel gestionado por desarrolladores de contenido
e-learning","josefina hernández jaime, m en c. rivera de la rosa mónica","Hoy en día cualquier desarrollador de xMOOC (cursos en línea abiertos y masivos basados en contenido), y en general de contenido e-learning, que monetiza sus contenidos sin trabajar con algún tipo de exclusividad con una plataforma, sabe que debe estar presente en diversas plataformas que distribuyan su contenido Sin embargo, las condiciones que le solicitan cada una de estas plataformas y sus estrategias de marketing colocan la balanza de los beneficios económicos más del lado de las plataformas que de los desarrolladores, orillando al desarrollador de contenido a buscar además diversos sitios que funjan como repositorios alternos para su trabajo y de ser posible, poseer su propio software a medida Por tal motivo, este proyecto tiene como propósito el desarrollo de un prototipo compuesto por un sistema web que albergue las listas de video de los xMOOC, monetiza bajo suscripciones periódicas a estas listas y que haga uso de la estrategia de MLM (marketing multinivel) de uninivel para sus afiliados Dicho sistema web es gestionado por el desarrollador de contenido e-learning que será responsable de sus cursos y tendrá acceso a un chat con sus afiliados; y tanto él como sus suscriptores podrán visualizar las analíticas referentes a sus afiliados que se encuentren en el sistema","Sistema web, MOOC basado en contenido, desarrolladores de contenido E-LEARNING, marketing multinivel, plan de compensación de afiliados uninivel.","Desarrollar un sistema web que permita que el desarrollador de contenido e-learning suba sus xMOOC a un e-commerce de tipo empresa a cliente (B2C) por ventas por suscripción periódica al contenido empleando marketing multinivel para suscriptores afiliados.   Objetivos específicos   Desarrollar un e-commerce donde el desarrollador de contenido e-learning opere como administrador en el módulo de        creación para subir xMOOC, recibir y pagar comisiones por los xMOOc bajo los precios que el establezca vía paypal y mostrar las analiticas de sus suscriptores y afiliados en una tabla de usuarios. Implementar un módulo de consumo para todo usuario de tipo suscriptor que se registre mediante un correo y un formulario al sistema web para generar su propia página de perfil editable, y este mismo acceda a un plan periodico de pago para suscribirse y acceder a los xMOOC. Incluyendo un chat con el administrador . Implementar el plan de compensación uninivel para que los suscriptores tengan acceso a ser afiliados con su propio enlace de afiliados como material de promoción para que reciban una comisión por todos aquellos que paguen la suscripción a través de ese respectivo enlace; pero que a diferencia de otras plataformas pueda realizar la parte del e-commerce con el MLM de manera unificada en el mismo sistema. Implementar un módulo de afiliado para todo usuario de tipo suscriptor que tenga su suscripción activada y validada; y capture su firma en un contrato de afiliado voluntariamente para generar su enlace de afiliados empleando cookies para afiliar mas suscriptores dentro de un intervalo de tiempo a través de su enlace; recibir una comisión por los suscriptores activos que consigua y visualizar el mapa de su red uninivel para las analiticas del MLM.",hernández jaime josefina,rivera de la rosa mónica,,,
2021-B015,"Prototipo de aplicación móvil para solicitar servicios profesionales a
domicilio con geolocalización y consumo de APIS de Google.",méndez segundo laura,"En el presente protocolo de trabajo terminal se propone un prototipo de aplicación móvil utilizando geolocalización y el consumo de apis, la cual permitirá buscar servicios profesionales a domicilio de cada usuario Además de permitir registrar a todos los profesionales que no cuentan con el suficiente dinero para el arrendamiento de un inmueble para su negocio, y les permita exponer su trabajo","Ingeniería de Software, aplicación móvil, geolocalización, consumo de APIS.","Desarrollar un prototipo de aplicación móvil utilizando geolocalización y el consumo de apis, la cual permitirá buscar y ofrecer servicios profesionales a domicilio.  Objetivos particulares        El usuario solicitante tendrá la facilidad de realizar la búsqueda de servicios profesionales específicos a domicilio. El cliente podrá revisar la calidad de los trabajos, las calificaciones y/o comentarios que tiene cada prestador de servicios profesionales. el prestador de servicios podrá crear un perfil, con las especificaciones de sus servicios profesionales. El prestador de servicios podrá obtener una ruta al domicilio del cliente de acuerdo con su ubicación actual. El prestador de servicios recibirá notificaciones de servicios solicitados al dispositivo donde tenga instalada la aplicación móvil. El prestador de servicios podrá aceptar o rechazar un servicio solicitado de acuerdo con su disponibilidad.",méndez segundo laura,,,,
2021-B016,Prototipo de un CRM móvil para consultorios dentales,cancino mosqueda odette berenice,"La humanidad ha mejorado la manera de hacer sus actividades utilizando la tecnología a su alcance y convirtiéndola en parte de su día a día En la actualidad la mayoría de la población utiliza un dispositivo móvil en sus actividades y los odontólogos también forman parte de esta evolución digital La práctica dental se enfrenta a diversos problemas no solo al brindar atención dental si no también en la retención de pacientes y administración de consultorios Debido a esto, se pretende realizar un CRM dental con el cual los odontólogos puedan mejorar sus actividades clínicas y administrativas a través de un dispositivo móvil que facilite, mejore u optimice el proceso en la práctica dental","Aplicaciones móviles, Administración de consultorios, CRM dental,","Desarrollar un prototipo de un sistema para facilitar las necesidades administrativas y clínicas, a través de una aplicación móvil, utilizado en consultorios dentales, consiguiendo un ahorro de tiempo y mejor organización.  Objetivos específicos      Implementar un control de acceso al aplicativo basado en perfiles de usuario para restringir y proteger datos sensibles. Implementar un módulo que nos permita controlar el expediente clínico para tener una recopilación ordenada, estructurada y de fácil acceso de la información de un paciente. Implementar un apartado de ingresos que nos permita monitorear el comportamiento de las ganancias. Implementar un módulo de control de citas para cada dentista registrado para administrar la asistencia de los pacientes.",cancino mosqueda odette berenice,,,,
2021-B017,"Aplicación Móvil y Web para monitorear la frecuencia cardiaca y detectar
condiciones cardiovasculares mediante redes neuronales a través de la
técnica de fotopletismografía en un Smartwatch.",rubén peredo valderrama,"En este trabajo terminal se desarrollará un sistema que a partir del sensor fotopletismografía (Photoplethysmogram, PPG por sus siglas en inglés) de un smartwatch, midiendo el pulso cardiaco del usuario, se analizará mediante una red neuronal y se observará dicha información procesada desde su celular o navegador web, para así medir, detectar y prevenir distintas patologías relacionadas con el ritmo cardiaco","Aplicación Móvil, Aplicación Web, Fotopletismografía, Red Neuronal, Ritmo Cardiaco, Smartwatch.","Desarrollar un sistema conformado por una aplicación de Smartwatch que capture y envíe el ritmo cardíaco del usuario a un servidor, el cual, mediante una red neuronal, sea capaz de recibir, analizar y procesar la información del usuario, permitiendo su visualización en una página web o aplicación móvil, para identificar una posible condición cardiaca.  Objetivos específicos   Implementar una aplicación móvil que capture el ritmo cardíaco desde una aplicación de Smartwatch y el sensor PPG, la cual será enviada a una servidor para ser analizada mediante una red neuronal.    Diseñar e implementar una red neuronal multicapa capaz de identificar de forma aproximada algunas de las principales enfermedades cardiovasculares mediante el ritmo cardíaco medido por el Smartwatch.    Instalar en un servidor la red neuronal implementada del punto anterior usando como fuente de datos la información proporcionada por el cliente móvil y que sea capaz de responder con los datos de salida de la red.    Desarrollar una aplicación web que funcione como intérprete de los datos obtenidos por el servidor para poder mostrar al usuario la información referente a su ritmo cardíaco, como la enfermedad cardiovascular detectada (en caso de existir), recomendaciones a seguir, alertas y gráficos.",peredo valderrama rubén,,,,
2021-B018,Sistema Clasificador de Patologías del Hígado para médicos Hepatólogos,"puebla lomas jaime hugo, serrano talamantes josé félix","El hígado es uno de los órganos más importantes del cuerpo, la rápida detección de alguna anomalía y/o enfermedad es crucial para un paciente, para ello se hace uso de las imágenes médicas, las cuales son proporcionadas mediante una resonancia magnética, radiografías, ultrasonidos, etc A pesar de esto el diagnóstico suele ser difícil de determinar en primera instancia Por otro lado, el uso de técnicas como el machine learning son capaces de resolver esta problemática El propósito de este trabajo es desarrollar un Sistema que ayude a médicos Hepatólogos al prediagnóstico para determinar mediante una imagen médica el tipo de enfermedad y en que etapa se encuentra, de la cual solamente nos remitiremos a Hígado graso y Cirrosis, así como la visualización de la anomalía en el órgano usando técnicas de visión por computador","Aprendizaje supervisado, Clasificación Multiclase, Patologías del Hígado, Segmentación de Imágenes.","Desarrollar un Sistema Clasificador de Patologías del Hígado que apoye a médicos Hepatólogos en el prediagnóstico, con el uso de machine learning aplicado en imágenes médicas.  Objetivos específicos       Conformar una base del conocimiento mediante un conjunto de imágenes de resonancias magnéticas validadas por una institución médica reconocida (Bancos de datos). Determinar las características más discriminantes para el conjunto de imágenes de entrenamiento. Entrenar un modelo Clasificador, el cual ayude a médicos hepatólogos a un prediagnóstico de anomalías del hígado las cuales son Hígado graso y Cirrosis. Entrenar la base del conocimiento usando de técnicas de reconocimiento de patrones. Desarrollar un módulo de prueba que visualice la anomalía en la imagen médica y clasifique la enfermedad.",puebla lomas jaime hugo,serrano talamantes jose félix,,,
